41.242836,-96.010952
41.243268,-96.011049
41.243587,-96.011387
41.243748,-96.012052
41.243744,-96.014622
41.245006,-96.014638
41.245877,-96.014987
41.246478,-96.015148
41.247365,-96.015153
41.247793,-96.015362
41.248156,-96.015523
41.248717,-96.015534
41.249261,-96.015341
41.250039,-96.014520
41.250503,-96.014080
41.251298,-96.013763
41.251512,-96.013253
41.252415,-96.012008
41.252927,-96.010506
41.254036,-96.008779
41.254258,-96.008275
41.255327,-96.007186
41.255710,-96.008221
41.255779,-96.008983
41.256331,-96.009718
41.256371,-96.010303
41.256500,-96.010539
41.257304,-96.010664
41.257498,-96.011045
41.257522,-96.011388
41.258175,-96.011377
41.258203,-96.011930
41.257655,-96.012284
41.257655,-96.012284
41.257461,-96.012284
41.257522,-96.011388
41.257498,-96.011045
41.257304,-96.010664
41.256500,-96.010539
41.256371,-96.010303
41.256331,-96.009718
41.255779,-96.008983
41.255710,-96.008221
41.255327,-96.007186
41.254258,-96.008275
41.254036,-96.008779
41.252927,-96.010506
41.252415,-96.012008
41.251512,-96.013253
41.251298,-96.013763
41.250503,-96.014080
41.250039,-96.014520
41.249261,-96.015341
41.248717,-96.015534
41.248156,-96.015523
41.247793,-96.015362
41.247551,-96.015861
41.247228,-96.015754
41.246214,-96.015708
41.245484,-96.015429
41.244921,-96.015417
41.244917,-96.014632
41.243744,-96.014622
41.243748,-96.012444
41.242840,-96.012444
41.242836,-96.010952
